,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,4101798.513,4035719.841999988,8137518.354999987,10.0
2,aten::embedding,3631.833000000265,3761.6910000001726,7393.524000000438,10.0
3,aten::arange,1512.0380000002024,35.26399999964178,1547.3019999998442,10.0
4,aten::unsqueeze,8318.738000000612,0.0,8318.738000000612,680.0
5,aten::eq,1438.3379999995022,41.40900000003603,1479.7469999995385,10.0
6,aten::all,1377.8249999998245,61.89100000012877,1439.715999999953,10.0
7,aten::is_nonzero,1701.834000000169,13.88799999942512,1715.721999999594,10.0
8,aten::slice,31534.85500000081,0.0,31534.85500000081,1980.0
9,aten::to,4082.880000000001,155.97199999969598,4238.851999999697,70.0
10,aten::expand,5745.1900000001215,0.0,5745.1900000001215,330.0
11,aten::matmul,2763.0439999996306,56.7689999997674,2819.812999999398,10.0
12,aten::transpose,10060.261000002589,0.0,10060.261000002589,650.0
13,aten::cat,33917.88000000184,63954.322999996,97872.20299999784,330.0
14,aten::cos,944.3110000004108,71.1690000000799,1015.4800000004908,10.0
15,aten::mul,71663.04400000651,167157.27000000002,238820.31400000653,820.0
16,aten::sin,901.5889999996308,60.289000000548185,961.8780000001788,10.0
17,llamarmsnorm_prof,369559.4639999992,366915.3839999897,736474.8479999889,330.0
18,aten::linear,235000.4370000071,3031599.3679999984,3266599.8050000053,1130.0
19,aten::view,4067.458000007495,0.0,4067.458000007495,480.0
20,aten::neg,27696.03400000172,19191.98199999902,46888.01600000074,320.0
21,aten::add,54933.96600000419,85066.81399999968,140000.78000000387,640.0
22,aten::reshape,51306.50799999706,51639.75700000382,102946.26500000089,480.0
23,aten::contiguous,37019.30199999604,63297.85500000106,100317.1569999971,320.0
24,aten::scaled_dot_product_attention,59137.288999996905,122297.08900000124,181434.37799999813,160.0
25,aten::silu,13650.253000003264,60151.60499999961,73801.85800000287,160.0
26,cudadevicesynchronize,2779753.3750000005,190.0529999998398,2779943.4280000003,10.0
0,GEMM,296900.7700000036,3153953.2259999993,3450853.996000003,
0,NonGEMM,735063.6010000216,881576.5629999887,1616640.1640000101,
0,SSM_Scan,0.0,0.0,0.0,
